filename,width,height,class,xmin,ymin,xmax,ymax
multiple_object (1).jpg,300,300,metal,83,112,147,190
multiple_object (1).jpg,300,300,metal,170,125,218,191
multiple_object (10).jpg,300,300,metal,126,124,290,247
multiple_object (10).jpg,300,300,plastic,20,109,108,182
multiple_object (100).jpg,300,300,glass,154,53,245,88
multiple_object (100).jpg,300,300,glass,78,36,156,87
multiple_object (100).jpg,300,300,plastic,121,188,164,214
multiple_object (101).jpg,300,300,glass,112,63,142,149
multiple_object (101).jpg,300,300,glass,163,187,202,262
multiple_object (102).jpg,300,300,plastic,99,90,153,130
multiple_object (102).jpg,300,300,plastic,82,231,123,283
multiple_object (103).jpg,300,300,bottle,24,110,119,148
multiple_object (103).jpg,300,300,plastic bottle,21,108,123,153
multiple_object (103).jpg,300,300,plastic bottle,109,76,268,168
multiple_object (103).jpg,300,300,plastic bottle,190,159,264,215
multiple_object (103).jpg,300,300,plastic bottle,112,187,226,238
multiple_object (103).jpg,300,300,plastic bottle,4,183,185,232
multiple_object (103).jpg,300,300,plastic,187,172,219,201
multiple_object (103).jpg,300,300,plastic,1,200,15,228
multiple_object (104).jpg,300,300,plastic bottle,129,33,177,70
multiple_object (104).jpg,300,300,plastic,146,212,162,229
multiple_object (105).JPG,300,300,glass,71,100,116,145
multiple_object (105).JPG,300,300,glass,47,110,85,160
multiple_object (105).JPG,300,300,plastic bottle,189,137,235,161
multiple_object (105).JPG,300,300,glass,283,128,300,177
multiple_object (106).JPG,300,300,plastic bottle,114,133,159,161
multiple_object (106).JPG,300,300,plastic bottle,123,159,178,186
multiple_object (106).JPG,300,300,plastic,155,121,175,155
multiple_object (107).JPG,300,300,metal,161,214,176,248
multiple_object (107).JPG,300,300,plastic,167,237,184,260
multiple_object (107).JPG,300,300,plastic,129,250,173,292
multiple_object (107).JPG,300,300,plastic,140,225,163,254
multiple_object (108).JPG,300,300,plastic,131,126,164,155
multiple_object (108).JPG,300,300,plastic bottle,172,164,199,191
multiple_object (108).JPG,300,300,plastic bottle,123,256,146,275
multiple_object (109).JPG,300,300,plastic bottle,56,75,143,137
multiple_object (109).JPG,300,300,metal,109,134,167,195
multiple_object (11).jpg,300,300,plastic bottle,34,128,139,257
multiple_object (11).jpg,300,300,plastic bottle,119,33,199,230
multiple_object (11).jpg,300,300,plastic bottle,206,22,300,191
multiple_object (110).JPG,300,300,plastic,163,78,224,130
multiple_object (110).JPG,300,300,plastic,95,111,125,150
multiple_object (111).JPG,300,300,plastic,94,88,150,166
multiple_object (111).JPG,300,300,plastic,197,201,241,262
multiple_object (112).JPG,300,300,plastic bottle,43,151,88,227
multiple_object (112).JPG,300,300,plastic,58,222,77,238
multiple_object (112).JPG,300,300,plastic,258,206,270,270
multiple_object (113).JPG,300,300,metal,142,165,193,224
multiple_object (113).JPG,300,300,paper,114,46,246,152
multiple_object (114).JPG,300,300,plastic,180,78,241,138
multiple_object (114).JPG,300,300,plastic,128,116,157,161
multiple_object (115).JPG,300,300,metal,120,114,150,145
multiple_object (115).JPG,300,300,metal,149,94,178,128
multiple_object (115).JPG,300,300,glass,112,48,151,104
multiple_object (115).JPG,300,300,plastic,187,97,237,198
multiple_object (115).JPG,300,300,cardboard,97,145,180,239
multiple_object (115).JPG,300,300,cardboard,192,26,286,124
multiple_object (116).JPG,300,300,metal,93,74,121,126
multiple_object (116).JPG,300,300,metal,59,84,93,130
multiple_object (116).JPG,300,300,metal,62,106,107,176
multiple_object (116).JPG,300,300,metal,71,154,108,218
multiple_object (116).JPG,300,300,metal,144,76,169,133
multiple_object (116).JPG,300,300,metal,173,75,196,122
multiple_object (116).JPG,300,300,metal,186,63,205,115
multiple_object (116).JPG,300,300,metal,205,88,226,139
multiple_object (116).JPG,300,300,metal,202,70,227,115
multiple_object (116).JPG,300,300,metal,224,97,238,129
multiple_object (116).JPG,300,300,plastic,199,16,275,122
multiple_object (116).JPG,300,300,plastic,38,129,57,176
multiple_object (116).JPG,300,300,plastic bottle,39,151,74,246
multiple_object (117).JPG,300,300,cardboard,52,71,113,145
multiple_object (117).JPG,300,300,cardboard,106,90,175,231
multiple_object (117).JPG,300,300,cardboard,171,90,226,150
multiple_object (118).JPG,300,300,plastic bottle,84,181,125,210
multiple_object (118).JPG,300,300,glass,181,143,230,189
multiple_object (118).JPG,300,300,plastic,234,86,250,102
multiple_object (118).JPG,300,300,plastic,172,92,194,109
multiple_object (118).JPG,300,300,plastic,139,31,158,58
multiple_object (119).JPG,300,300,metal,52,170,102,200
multiple_object (119).JPG,300,300,metal,142,163,188,195
multiple_object (119).JPG,300,300,plastic bottle,100,58,200,133
multiple_object (119).JPG,300,300,glass,45,21,171,64
multiple_object (12).jpg,300,300,plastic bottle,24,33,147,245
multiple_object (12).jpg,300,300,plastic bottle,152,40,265,272
multiple_object (120).JPG,300,300,paper,53,134,84,175
multiple_object (120).JPG,300,300,plastic,51,162,75,194
multiple_object (120).JPG,300,300,plastic,101,195,135,217
multiple_object (120).JPG,300,300,plastic,1,107,14,136
multiple_object (120).JPG,300,300,plastic,78,29,106,46
multiple_object (120).JPG,300,300,plastic,49,1,70,28
multiple_object (120).JPG,300,300,plastic,4,37,26,58
multiple_object (120).JPG,300,300,metal,266,141,289,157
multiple_object (121).JPG,300,300,plastic bottle,86,68,154,111
multiple_object (121).JPG,300,300,plastic bottle,227,234,261,300
multiple_object (122).JPG,300,300,plastic,53,106,125,184
multiple_object (122).JPG,300,300,glass,117,131,131,168
multiple_object (122).JPG,300,300,plastic bottle,134,122,161,162
multiple_object (123).JPG,300,300,plastic,126,169,149,181
multiple_object (123).JPG,300,300,plastic,108,200,132,210
multiple_object (123).JPG,300,300,plastic,170,137,190,151
multiple_object (123).JPG,300,300,plastic,148,130,163,149
multiple_object (123).JPG,300,300,plastic,138,145,151,159
multiple_object (123).JPG,300,300,plastic,125,142,136,162
multiple_object (123).JPG,300,300,plastic,118,186,134,199
multiple_object (123).JPG,300,300,plastic,107,210,129,235
multiple_object (123).JPG,300,300,plastic,168,102,182,118
multiple_object (123).JPG,300,300,plastic,146,95,162,117
multiple_object (123).JPG,300,300,plastic,132,119,147,134
multiple_object (123).JPG,300,300,plastic,157,79,181,101
multiple_object (123).JPG,300,300,plastic,184,66,198,83
multiple_object (123).JPG,300,300,plastic,181,39,199,60
multiple_object (123).JPG,300,300,plastic,188,6,216,30
multiple_object (123).JPG,300,300,plastic,91,226,110,244
multiple_object (123).JPG,300,300,plastic,89,244,110,269
multiple_object (124).JPG,300,300,plastic bottle,184,101,223,212
multiple_object (124).JPG,300,300,plastic,191,191,210,212
multiple_object (125).JPG,300,300,cardboard,39,72,140,146
multiple_object (125).JPG,300,300,plastic bottle,124,142,210,209
multiple_object (126).JPG,300,300,cardboard,47,84,98,135
multiple_object (126).JPG,300,300,glass,109,76,149,148
multiple_object (126).JPG,300,300,plastic bottle,151,112,193,175
multiple_object (127).JPG,300,300,paper,138,133,210,206
multiple_object (127).JPG,300,300,paper,79,187,188,238
multiple_object (127).JPG,300,300,cardboard,77,99,206,164
multiple_object (127).JPG,300,300,metal,226,126,249,175
multiple_object (127).JPG,300,300,paper,231,159,296,226
multiple_object (128).JPG,300,300,cardboard,60,68,114,122
multiple_object (128).JPG,300,300,cardboard,120,123,237,199
multiple_object (129).JPG,300,300,glass,177,184,236,253
multiple_object (129).JPG,300,300,plastic bottle,130,212,196,249
multiple_object (129).JPG,300,300,cardboard,119,244,151,285
multiple_object (13).JPG,300,300,plastic bottle,80,95,185,128
multiple_object (13).JPG,300,300,metal,181,73,261,139
multiple_object (13).JPG,300,300,metal,107,59,184,103
multiple_object (13).JPG,300,300,plastic,79,104,95,134
multiple_object (13).JPG,300,300,plastic,65,132,168,224
multiple_object (13).JPG,300,300,plastic,12,190,60,275
multiple_object (130).JPG,300,300,cardboard,42,81,113,150
multiple_object (130).JPG,300,300,metal,134,111,164,142
multiple_object (130).JPG,300,300,metal,112,98,139,124
multiple_object (130).JPG,300,300,plastic bottle,125,28,166,107
multiple_object (130).JPG,300,300,glass,40,48,138,86
multiple_object (130).JPG,300,300,cardboard,156,96,251,170
multiple_object (131).JPG,300,300,cardboard,90,122,139,175
multiple_object (131).JPG,300,300,metal,142,132,179,175
multiple_object (131).JPG,300,300,metal,168,176,198,215
multiple_object (132).JPG,300,300,metal,13,126,94,226
multiple_object (132).JPG,300,300,metal,89,133,153,189
multiple_object (132).JPG,300,300,metal,173,153,200,175
multiple_object (132).JPG,300,300,metal,126,70,221,143
multiple_object (132).JPG,300,300,metal,164,21,206,43
multiple_object (132).JPG,300,300,metal,30,51,97,107
multiple_object (132).JPG,300,300,paper,91,192,230,264
multiple_object (133).JPG,300,300,cardboard,113,137,191,186
multiple_object (133).JPG,300,300,plastic bottle,74,141,106,196
multiple_object (133).JPG,300,300,plastic,62,183,80,204
multiple_object (134).JPG,300,300,plastic bottle,119,133,163,161
multiple_object (134).JPG,300,300,plastic bottle,129,160,189,187
multiple_object (134).JPG,300,300,plastic,159,121,186,156
multiple_object (135).JPG,300,300,plastic bottle,152,177,187,244
multiple_object (135).JPG,300,300,plastic bottle,187,36,256,89
multiple_object (136).JPG,300,300,plastic bottle,95,161,131,187
multiple_object (136).JPG,300,300,glass,1,204,29,219
multiple_object (136).JPG,300,300,glass,179,103,223,147
multiple_object (136).JPG,300,300,plastic,200,17,222,43
multiple_object (137).JPG,300,300,plastic,151,134,163,146
multiple_object (138).JPG,300,300,metal,145,157,206,194
multiple_object (138).JPG,300,300,metal,95,202,126,237
multiple_object (138).JPG,300,300,metal,103,133,127,167
multiple_object (138).JPG,300,300,metal,82,134,111,158
multiple_object (138).JPG,300,300,metal,56,104,80,131
multiple_object (138).JPG,300,300,metal,65,49,147,111
multiple_object (139).JPG,300,300,plastic bottle,133,173,173,206
multiple_object (139).JPG,300,300,plastic bottle,152,164,166,178
multiple_object (139).JPG,300,300,plastic bottle,142,153,156,173
multiple_object (139).JPG,300,300,metal,151,147,168,164
multiple_object (14).JPG,300,300,metal,124,147,189,235
multiple_object (14).JPG,300,300,plastic,2,57,103,194
multiple_object (14).JPG,300,300,cardboard,106,5,201,134
multiple_object (14).JPG,300,300,cardboard,170,53,272,154
multiple_object (140).JPG,300,300,plastic bottle,153,180,190,202
multiple_object (140).JPG,300,300,plastic bottle,188,117,220,146
multiple_object (140).JPG,300,300,plastic,95,123,120,145
multiple_object (141).JPG,300,300,metal,134,110,243,225
multiple_object (141).JPG,300,300,metal,132,60,169,110
multiple_object (142).JPG,300,300,plastic,121,95,182,134
multiple_object (142).JPG,300,300,plastic,164,136,235,183
multiple_object (142).JPG,300,300,metal,115,58,154,97
multiple_object (143).JPG,300,300,paper,65,118,152,191
multiple_object (143).JPG,300,300,plastic,153,105,189,128
multiple_object (144).JPG,300,300,plastic,138,78,174,114
multiple_object (144).JPG,300,300,plastic,176,182,204,207
multiple_object (145).JPG,300,300,plastic,27,182,76,239
multiple_object (145).JPG,300,300,plastic,88,228,139,264
multiple_object (146).JPG,300,300,plastic,120,199,131,206
multiple_object (146).JPG,300,300,glass,87,181,138,204
multiple_object (147).JPG,300,300,plastic,80,157,124,188
multiple_object (147).JPG,300,300,plastic,102,180,139,207
multiple_object (147).JPG,300,300,plastic,135,219,182,253
multiple_object (147).JPG,300,300,plastic bottle,124,42,198,87
multiple_object (148).JPG,300,300,plastic bottle,145,108,193,154
multiple_object (148).JPG,300,300,plastic bottle,119,212,141,243
multiple_object (148).JPG,300,300,glass,155,195,218,297
multiple_object (149).JPG,300,300,plastic,161,116,205,146
multiple_object (149).JPG,300,300,plastic,156,74,185,107
multiple_object (149).JPG,300,300,plastic,222,22,255,40
multiple_object (15).JPG,300,300,plastic,80,121,180,172
multiple_object (15).JPG,300,300,paper,1,127,116,233
multiple_object (150).JPG,300,300,plastic bottle,217,114,254,183
multiple_object (151).JPG,300,300,metal,128,170,206,232
multiple_object (151).JPG,300,300,plastic,102,103,165,118
multiple_object (152).JPG,300,300,plastic,100,161,196,184
multiple_object (152).JPG,300,300,plastic,141,86,178,116
multiple_object (152).JPG,300,300,plastic,28,103,93,153
multiple_object (153).JPG,300,300,cardboard,142,141,175,179
multiple_object (153).JPG,300,300,plastic,119,159,137,180
multiple_object (154).JPG,300,300,cardboard,115,163,154,195
multiple_object (154).JPG,300,300,plastic,114,152,149,173
multiple_object (154).JPG,300,300,plastic,124,142,142,162
multiple_object (154).JPG,300,300,paper,152,131,196,163
multiple_object (155).JPG,300,300,cardboard,187,149,224,187
multiple_object (155).JPG,300,300,plastic,128,110,162,136
multiple_object (156).JPG,300,300,paper,31,45,116,103
multiple_object (156).JPG,300,300,plastic,173,156,222,211
multiple_object (157).JPG,300,300,plastic,166,147,204,176
multiple_object (157).JPG,300,300,plastic,173,167,254,213
multiple_object (157).JPG,300,300,plastic,75,75,110,91
multiple_object (157).JPG,300,300,paper,19,52,56,69
multiple_object (158).JPG,300,300,cardboard,171,108,230,150
multiple_object (158).JPG,300,300,cardboard,74,197,136,224
multiple_object (159).JPG,300,300,metal,178,120,235,161
multiple_object (159).JPG,300,300,metal,147,157,167,170
multiple_object (16).jpg,300,300,metal,161,148,207,185
multiple_object (16).jpg,300,300,plastic,257,196,300,238
multiple_object (160).JPG,300,300,cardboard,112,160,171,188
multiple_object (160).JPG,300,300,cardboard,90,97,199,163
multiple_object (160).JPG,300,300,paper,180,119,204,138
multiple_object (160).JPG,300,300,plastic,179,41,238,83
multiple_object (160).JPG,300,300,plastic,182,193,224,236
multiple_object (160).JPG,300,300,plastic,172,227,203,247
multiple_object (161).JPG,300,300,plastic,124,168,146,204
multiple_object (161).JPG,300,300,plastic,111,225,140,246
multiple_object (162).JPG,300,300,plastic,98,208,125,225
multiple_object (162).JPG,300,300,cardboard,82,218,133,245
multiple_object (163).JPG,300,300,plastic,122,176,158,211
multiple_object (163).JPG,300,300,plastic,157,188,175,200
multiple_object (163).JPG,300,300,plastic,153,192,186,214
multiple_object (164).JPG,300,300,plastic,132,114,172,146
multiple_object (165).JPG,300,300,plastic,63,117,117,164
multiple_object (165).JPG,300,300,metal,189,78,266,164
multiple_object (166).JPG,300,300,cardboard,123,135,206,223
multiple_object (166).JPG,300,300,metal,48,51,71,107
multiple_object (166).JPG,300,300,metal,261,239,299,293
multiple_object (167).JPG,300,300,plastic,92,135,199,175
multiple_object (167).JPG,300,300,plastic,209,84,250,124
multiple_object (168).JPG,300,300,metal,143,116,168,158
multiple_object (168).JPG,300,300,metal,96,121,133,175
multiple_object (168).JPG,300,300,metal,157,144,223,188
multiple_object (168).JPG,300,300,cardboard,205,94,298,165
multiple_object (168).JPG,300,300,plastic,166,104,204,148
multiple_object (169).JPG,300,300,metal,80,148,123,167
multiple_object (17).jpg,300,300,plastic,79,150,133,190
multiple_object (17).jpg,300,300,metal,131,156,176,186
multiple_object (17).jpg,300,300,plastic,160,141,231,185
multiple_object (17).jpg,300,300,plastic,179,192,239,220
multiple_object (170).JPG,300,300,cardboard,201,33,253,87
multiple_object (170).JPG,300,300,cardboard,104,101,205,191
multiple_object (170).JPG,300,300,cardboard,147,217,229,270
multiple_object (171).JPG,300,300,plastic,67,138,234,235
multiple_object (171).JPG,300,300,plastic,175,93,246,133
multiple_object (171).JPG,300,300,cardboard,137,114,208,162
multiple_object (172).JPG,300,300,plastic,99,162,156,203
multiple_object (172).JPG,300,300,metal,189,122,226,139
multiple_object (173).JPG,300,300,plastic,136,106,157,132
multiple_object (173).JPG,300,300,plastic,100,129,120,156
multiple_object (173).JPG,300,300,plastic,173,49,220,159
multiple_object (174).JPG,300,300,plastic,114,181,171,212
multiple_object (174).JPG,300,300,plastic,136,106,171,134
multiple_object (175).JPG,300,300,plastic bottle,100,164,140,223
multiple_object (175).JPG,300,300,plastic,82,193,147,219
multiple_object (175).JPG,300,300,plastic,119,81,133,92
multiple_object (176).JPG,300,300,plastic,156,227,194,267
multiple_object (176).JPG,300,300,plastic,148,42,202,93
multiple_object (176).JPG,300,300,plastic,48,129,104,173
multiple_object (177).JPG,300,300,plastic,148,157,262,214
multiple_object (177).JPG,300,300,plastic,1,58,158,192
multiple_object (177).JPG,300,300,plastic,151,24,300,124
multiple_object (178).JPG,300,300,plastic,213,137,300,212
multiple_object (178).JPG,300,300,plastic,138,127,204,207
multiple_object (178).JPG,300,300,plastic,1,74,160,227
multiple_object (178).JPG,300,300,cardboard,180,29,300,105
multiple_object (179).JPG,300,300,paper,46,81,94,151
multiple_object (179).JPG,300,300,paper,76,109,130,176
multiple_object (179).JPG,300,300,paper,123,120,152,177
multiple_object (179).JPG,300,300,paper,81,150,174,286
multiple_object (179).JPG,300,300,paper,21,220,91,290
multiple_object (179).JPG,300,300,paper,45,174,85,214
multiple_object (179).JPG,300,300,paper,35,150,78,189
multiple_object (18).jpg,300,300,metal,41,209,104,243
multiple_object (18).jpg,300,300,metal,113,126,177,160
multiple_object (180).JPG,300,300,plastic bottle,150,78,171,89
multiple_object (180).JPG,300,300,paper,115,133,131,146
multiple_object (181).JPG,300,300,plastic,95,171,155,223
multiple_object (181).JPG,300,300,cardboard,140,109,290,237
multiple_object (182).JPG,300,300,metal,117,179,189,227
multiple_object (182).JPG,300,300,glass,76,168,118,191
multiple_object (182).JPG,300,300,metal,73,146,121,173
multiple_object (183).JPG,300,300,cardboard,48,102,205,288
multiple_object (183).JPG,300,300,plastic,174,49,250,124
multiple_object (184).JPG,300,300,plastic,15,24,125,208
multiple_object (184).JPG,300,300,cardboard,116,133,280,240
multiple_object (185).JPG,300,300,metal,129,127,184,153
multiple_object (185).JPG,300,300,plastic,199,211,251,257
multiple_object (186).JPG,300,300,plastic,53,100,154,143
multiple_object (186).JPG,300,300,cardboard,1,36,260,238
multiple_object (187).JPG,300,300,plastic,69,127,119,171
multiple_object (187).JPG,300,300,cardboard,172,98,216,119
multiple_object (187).JPG,300,300,metal,232,72,298,128
multiple_object (188).JPG,300,300,plastic bottle,127,131,179,199
multiple_object (188).JPG,300,300,plastic,148,196,172,211
multiple_object (188).JPG,300,300,metal,89,10,185,52
multiple_object (189).JPG,300,300,plastic bottle,46,217,72,240
multiple_object (189).JPG,300,300,plastic bottle,159,79,174,97
multiple_object (189).JPG,300,300,plastic,32,164,71,189
multiple_object (19).jpg,300,300,metal,90,106,144,185
multiple_object (19).jpg,300,300,plastic,24,183,102,281
multiple_object (190).JPG,300,300,metal,11,141,88,192
multiple_object (190).JPG,300,300,metal,174,148,236,188
multiple_object (190).JPG,300,300,glass,84,163,182,247
multiple_object (190).JPG,300,300,glass,191,180,298,276
multiple_object (190).JPG,300,300,plastic,56,35,280,144
multiple_object (191).JPG,300,300,glass,6,85,116,164
multiple_object (191).JPG,300,300,glass,193,78,292,141
multiple_object (191).JPG,300,300,metal,207,40,296,105
multiple_object (191).JPG,300,300,metal,55,61,128,110
multiple_object (191).JPG,300,300,metal,145,113,175,140
multiple_object (192).JPG,300,300,cardboard,131,88,191,136
multiple_object (192).JPG,300,300,cardboard,181,176,241,232
multiple_object (192).JPG,300,300,plastic,223,212,268,244
multiple_object (193).JPG,300,300,cardboard,98,61,190,96
multiple_object (193).JPG,300,300,paper,2,83,255,297
multiple_object (193).JPG,300,300,plastic,81,2,199,63
multiple_object (194).JPG,300,300,plastic bottle,27,170,52,211
multiple_object (194).JPG,300,300,plastic bottle,174,158,185,189
multiple_object (194).JPG,300,300,metal,181,167,213,180
multiple_object (195).JPG,300,300,plastic,84,117,153,178
multiple_object (195).JPG,300,300,paper,19,59,68,93
multiple_object (196).JPG,300,300,plastic bottle,97,175,117,195
multiple_object (196).JPG,300,300,glass,140,210,167,222
multiple_object (196).JPG,300,300,metal,6,212,34,236
multiple_object (197).JPG,300,300,plastic bottle,89,147,123,159
multiple_object (197).JPG,300,300,plastic,94,133,117,145
multiple_object (198).JPG,300,300,plastic,61,153,179,223
multiple_object (198).JPG,300,300,plastic,77,52,170,120
multiple_object (199).JPG,300,300,plastic,72,116,197,182
multiple_object (199).JPG,300,300,plastic,189,152,264,188
multiple_object (2).JPG,300,300,cardboard,97,105,260,200
multiple_object (2).JPG,300,300,cardboard,122,29,241,118
multiple_object (2).JPG,300,300,cardboard,208,47,298,139
multiple_object (20).jpg,300,300,glass,123,127,233,189
multiple_object (20).jpg,300,300,plastic,35,129,147,218
multiple_object (200).JPG,300,300,paper,139,118,193,167
multiple_object (201).JPG,300,300,cardboard,55,56,199,156
multiple_object (201).JPG,300,300,cardboard,143,154,250,231
multiple_object (202).JPG,300,300,cardboard,14,48,241,293
multiple_object (202).JPG,300,300,cardboard,194,1,276,97
multiple_object (203).JPG,300,300,cardboard,32,130,299,284
multiple_object (203).JPG,300,300,plastic,36,24,173,161
multiple_object (204).JPG,300,300,plastic,75,147,229,283
multiple_object (204).JPG,300,300,cardboard,44,1,198,109
multiple_object (205).JPG,300,300,plastic,214,186,254,201
multiple_object (205).JPG,300,300,plastic bottle,231,246,271,274
multiple_object (205).JPG,300,300,plastic,210,250,240,269
multiple_object (206).JPG,300,300,plastic,128,144,165,172
multiple_object (206).JPG,300,300,cardboard,93,199,131,241
multiple_object (207).JPG,300,300,cardboard,68,147,115,185
multiple_object (207).JPG,300,300,cardboard,89,104,134,138
multiple_object (207).JPG,300,300,paper,183,156,217,179
multiple_object (208).JPG,300,300,cardboard,129,124,189,163
multiple_object (208).JPG,300,300,plastic,95,137,136,162
multiple_object (208).JPG,300,300,paper,264,197,300,239
multiple_object (209).JPG,300,300,cardboard,63,112,85,132
multiple_object (209).JPG,300,300,metal,30,161,59,188
multiple_object (209).JPG,300,300,plastic bottle,178,117,196,138
multiple_object (209).JPG,300,300,cardboard,239,108,270,137
multiple_object (21).jpg,300,300,glass,86,202,214,269
multiple_object (21).jpg,300,300,plastic,38,271,99,300
multiple_object (210).JPG,300,300,metal,62,165,97,220
